"filename", "language", "Markdown", "YAML", "Properties", "Swift", "Shell Script", "C++", "JavaScript", "Dart", "Java", "Objective-C", "Gradle", "XML", "JSON", "Rust", "Ruby", "C", "comment", "blank", "total"
"c:\Users\acer\workspace1\langtube\packages\languages\android\app\src\main\java\io\flutter\plugins\GeneratedPluginRegistrant.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, -3, -4, -24
"c:\Users\acer\workspace1\langtube\packages\languages\android\local.properties", "Properties", 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2
"c:\Users\acer\workspace1\langtube\packages\languages\ios\Flutter\flutter_export_environment.sh", "Shell Script", 0, 0, 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -1, -14
"c:\Users\acer\workspace1\langtube\packages\languages\ios\Runner\GeneratedPluginRegistrant.h", "C++", 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -7, -20
"c:\Users\acer\workspace1\langtube\packages\languages\ios\Runner\GeneratedPluginRegistrant.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, -4, -6, -15
"c:\Users\acer\workspace1\langtube\packages\languages\lib\languages.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -4
"c:\Users\acer\workspace1\langtube\packages\languages\lib\src\language_codes.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, -1, -3, -16
"c:\Users\acer\workspace1\langtube\packages\languages\lib\src\language_flags.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -21
"c:\Users\acer\workspace1\langtube\packages\languages\lib\src\language_patterns.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -10
"c:\Users\acer\workspace1\langtube\packages\languages\lib\src\languages.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -69, 0, 0, 0, 0, 0, 0, 0, 0, 0, -13, -82
"c:\Users\acer\workspace1\langtube\packages\languages\lib\src\languages\german.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -89, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4, -94
"c:\Users\acer\workspace1\langtube\packages\languages\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -5, -12
"c:\Users\acer\workspace1\langtube\packages\languages\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -6, -16
"c:\Users\acer\workspace1\langtube\packages\languages\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -4, -11
"c:\Users\acer\workspace1\langtube\packages\languages\macos\Flutter\ephemeral\flutter_export_environment.sh", "Shell Script", 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -1, -13
"c:\Users\acer\workspace1\langtube\packages\languages\pubspec.yaml", "YAML", 0, -15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -32, -8, -55
"c:\Users\acer\workspace1\langtube\packages\languages\test\language_utils_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"c:\Users\acer\workspace1\langtube\packages\languages\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -5, -12
"c:\Users\acer\workspace1\langtube\packages\languages\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -6, -16
"c:\Users\acer\workspace1\langtube\packages\oxford_dictionary_scraper\CHANGELOG.md", "Markdown", -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -4
"c:\Users\acer\workspace1\langtube\packages\oxford_dictionary_scraper\README.md", "Markdown", -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -11, -40
"c:\Users\acer\workspace1\langtube\packages\oxford_dictionary_scraper\analysis_options.yaml", "YAML", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2, -5
"c:\Users\acer\workspace1\langtube\packages\oxford_dictionary_scraper\lib\oxford_dictionary_scraper.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -4
"c:\Users\acer\workspace1\langtube\packages\oxford_dictionary_scraper\lib\src\data\data.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -115, 0, 0, 0, 0, 0, 0, 0, 0, 0, -35, -150
"c:\Users\acer\workspace1\langtube\packages\oxford_dictionary_scraper\lib\src\data\generated\data.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -91, 0, 0, 0, 0, 0, 0, 0, 0, -4, -19, -114
