"filename", "language", "Properties", "Python", "Shell Script", "Rust", "JavaScript", "JSON", "Makefile", "pip requirements", "Markdown", "HTML", "XML", "CSS", "vue", "YAML", "comment", "blank", "total"
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\train\evaluate.ipynb", "JSON", 0, 0, 0, 0, 0, 3871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3871
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\train\evaluate.py", "Python", 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 48, 186
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\train\labeler.py", "Python", 0, 248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 96, 345
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\train\model.py", "Python", 0, 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39, 216
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\train\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 1, 116
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\train\setup.cfg", "Properties", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\train\text_data.py", "Python", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24, 96
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\train\train.ipynb", "JSON", 0, 0, 0, 0, 0, 960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 961
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\train\utils.py", "Python", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\update_version.sh", "Shell Script", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\website\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\website\babel.config.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\website\package-lock.json", "JSON", 0, 0, 0, 0, 0, 13095, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13096
"c:\Users\acer\workspace1\langtube\packages\readability\rust\libs\wtpsplit\website\package.json", "JSON", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 54
